"round","category","value","clue","answer","image"
"DJ","Law and Disorder","2000","clue","answer",""
"DJ","Campus Crawl","400","clue","answer",""
"DJ","Campus Crawl","800","clue","answer",""
"DJ","Campus Crawl","1200","clue","answer",""
"DJ","Campus Crawl","1600","clue","answer",""
"DJ","Campus Crawl","2000","clue","answer",""
"DJ","Knight School","400","clue","answer",""
"DJ","Knight School","800","clue","answer",""
"DJ","Knight School","1200","clue","answer",""
"DJ","Knight School","1600","clue","answer",""
"DJ","Knight School","2000","clue","answer",""
"DJ","Yet Hugs","400","In dining, this term describes an additional dish served alongside the main course such as salad or fries.","What is a side?",""
"DJ","Yet Hugs","800","This is the action of expelling one from a jurisdiction.","What is to banish?",""
"DJ","Yet Hugs","1200","Beware this in March.","What are the Ides?",""
"DJ","Yet Hugs","1600","This conjunction is derived from the Proto‑Germanic word ""unda""","What is ""and""?",""
"DJ","Yet Hugs","2000","The Himalayan pheasant pictured here.","What is a monal?",""
F,"US History",0,"This U.S. landmark was a gift from France and arrived in 350 pieces","What is the Statue of Liberty?",
